chip_id,type,rationale,continent,lat,lon,panel_frac,dice,recall,precision,gt_px,pred_px,frac_year_2024,poly_total_area_m2,poly_2024_area_m2,n_polys,min_year,max_year,in_b4,in_b8,in_b11,in_ndvi,in_n
c+004374_r+001690,C,"F=0.08, R=0.70, in_b11=2817 (between 3330-3583)",Asia,36.196403843846895,100.59981338574968,0.5885,0.8197,0.7018,0.9853,38563,27470,0.0848,3856683,327149,2,2023.0,2024.0,1630.6,2089.3,2817.5,0.1233,38563
c+004375_r+001688,A,in_b11=2776<3330 (panel-like) AND R=0.66<0.70,Asia,36.15927821746608,100.62281025702312,0.6226,0.6633,0.6583,0.6685,40829,40203,0.0000,4080028,0,1,2023.0,2023.0,1639.8,2059.0,2776.3,0.1133,40829
c+004441_r+001821,C,"F=0.00, R=0.70, in_b11=3540 (between 3330-3583)",Asia,38.58949728285147,102.14060376107147,0.8773,0.8013,0.7031,0.9315,57483,43387,0.0000,5749612,0,2,2017.0,2021.0,2564.7,2800.2,3539.7,0.0439,57483
c+004607_r+001739,C,"F=1.00, R=0.76, in_b11=3772 (between 3330-3583)",Asia,37.100468012612446,105.95808439246578,0.4806,0.82,0.7635,0.8856,31497,27152,1.0000,3149738,3149738,3,2024.0,2024.0,2418.2,2781.6,3772.5,0.0699,31497
c+002409_r+001110,C,"F=0.00, R=0.71, in_b11=4858 (between 3330-3583)",Asia,24.73214204862433,55.41096133340126,0.6536,0.8277,0.7131,0.9863,43037,31114,0.0000,4283560,0,3,2017.0,2023.0,3229.1,3505.5,4858.0,0.0410,43037
c-004474_r+001486,C,"F=0.00, R=0.68, in_b11=3332 (between 3330-3583)",N_America,32.320384981942425,-102.87650364182218,0.5049,0.8058,0.6824,0.9838,33093,22956,0.0000,3309029,0,3,2017.0,2020.0,1679.0,2221.9,3332.1,0.1392,33093
c+001721_r+000923,C,"F=1.00, R=0.24, in_b11=4164 (between 3330-3583)",Africa,20.767357706849868,39.58911389726095,0.7975,0.3789,0.237,0.9451,52248,13101,1.0000,5226768,5226768,3,2024.0,2024.0,2511.8,2644.9,4164.5,0.0258,52248
c+004884_r+001414,C,"F=0.00, R=0.74, in_b11=2139 (between 3330-3583)",Asia,30.910412820731707,112.32821773521414,0.4,0.7511,0.7423,0.7601,26243,25628,0.0000,2621591,0,8,2022.0,2023.0,954.5,1876.8,2139.3,0.3258,26243
c+005117_r+002478,A,in_b11=2826<3330 (panel-like) AND R=0.00<0.70,Asia,49.41141246245209,117.68648874193026,0.471,0.0,0.0,0.0,30879,0,0.0000,3086961,0,2,2019.0,2021.0,1526.2,1837.7,2825.7,0.0926,30879
c+003339_r+001814,C,"F=0.00, R=0.45, in_b11=3667 (between 3330-3583)",Asia,38.463560980431865,76.79805161771883,0.5456,0.6172,0.4488,0.9879,35764,16246,0.0000,3575848,0,1,2023.0,2023.0,2656.9,2788.5,3666.6,0.0242,35764
c+003015_r+001081,C,"F=1.00, R=0.90, in_b11=3035 (between 3330-3583)",Asia,24.1249400030783,69.34706532511787,0.5879,0.8438,0.896,0.7974,38505,43263,1.0000,3852636,3852636,2,2024.0,2024.0,1871.7,1920.4,3034.5,0.0129,38505
c-005146_r+001619,A,in_b11=2727<3330 (panel-like) AND R=0.48<0.70,N_America,34.86772501936808,-118.33040113758712,0.4646,0.6515,0.4842,0.9955,30519,14845,0.0000,3044633,0,4,2023.0,2023.0,1475.9,2219.0,2726.6,0.2011,30519
